sgRNA	Gene	Reads
HGLibA_29438	MLX	469
HGLibA_12853	DEFB113	2834
HGLibA_18159	FUCA2	1711
HGLibA_42563	S100A6	485
HGLibA_42697	SAMD9	2067
HGLibA_52859	UFSP2	1866
HGLibA_11953	CXorf61	3521
HGLibA_57773	hsa-mir-133a-1	1476
HGLibA_43226	SEC23IP	670
HGLibA_42765	SASH3	1976
HGLibA_47292	ST8SIA2	1744
HGLibA_61376	hsa-mir-494	688
HGLibA_03508	ATHL1	1252
HGLibA_35126	PAPD7	619
HGLibA_44271	SKAP1	1370
HGLibA_01102	AFAP1L2	531
HGLibA_46631	SPG11	961
HGLibA_12624	DDN	980
HGLibA_19815	GPLD1	1050
HGLibA_63849	hsa-mir-7155	315
HGLibA_28983	METTL21C	612
HGLibA_37583	POLR2G	962
HGLibA_35657	PCP2	570
HGLibA_44099	SI	2012
HGLibA_62313	hsa-mir-5695	635
HGLibA_61624	hsa-mir-517a	1250
HGLibA_60433	hsa-mir-4502	760
HGLibA_36051	PEPD	659
HGLibA_08855	CDO1	247
HGLibA_03575	ATP13A4	1253
HGLibA_28190	MAP3K5	2140
HGLibA_10165	CLUL1	1417
HGLibA_36469	PHYH	515
HGLibA_04723	BPIFB2	945
HGLibA_19017	GGT6	491
HGLibA_01805	AMMECR1L	153
HGLibA_09296	CGA	1779
HGLibA_04440	BEX1	1565
HGLibA_62160	hsa-mir-558	100
HGLibA_06083	C22orf46	683
HGLibA_31830	NFKBIE	511
HGLibA_02077	ANKRD34B	668
HGLibA_39496	PTPRD	656
HGLibA_47720	SUGP2	1067
HGLibA_22359	HTR1B	302
HGLibA_64882	NonTargetingControlGuideForHuman_0499	583
HGLibA_10330	CNOT10	827
HGLibA_53313	USP26	962
HGLibA_60206	hsa-mir-4450	1246
HGLibA_17240	FCRL6	1872
HGLibA_27196	LRP1	544
HGLibA_17185	FCGR1B	631
HGLibA_34496	OR8B2	151
HGLibA_57255	hsa-mir-1197	455
HGLibA_41196	RHOJ	520
HGLibA_48857	TCTE1	409
HGLibA_38132	PPP1R9B	288
HGLibA_27887	MAG	1034
HGLibA_33067	NUP62CL	735
HGLibA_50874	TNNI2	468
HGLibA_60652	hsa-mir-4637	989
HGLibA_41639	RNF220	198
HGLibA_46019	SNURF	2011
HGLibA_53219	USP17L11	9649
HGLibA_41879	RPL17	390
HGLibA_57621	hsa-mir-1289-1	1281
HGLibA_62356	hsa-mir-5704	1009
HGLibA_16191	FAM157A	499
HGLibA_15694	EVI5L	562
HGLibA_14071	DTNBP1	2762
HGLibA_23592	IRF5	1880
HGLibA_48759	TCERG1L	3474
HGLibA_63602	hsa-mir-6857	625
HGLibA_25563	KRT83	721
HGLibA_14220	DYDC1	817
HGLibA_06199	C2orf91	253
HGLibA_62771	hsa-mir-633	967
HGLibA_44669	SLC25A20	879
HGLibA_23819	ITK	1323
HGLibA_22418	HTT	576
HGLibA_37369	PNMA2	837
HGLibA_25070	KLF3	215
HGLibA_37086	PLEKHB1	706
HGLibA_46110	SNX9	1774
HGLibA_28400	MAST1	365
HGLibA_22401	HTR6	696
HGLibA_13834	DPF3	1139
HGLibA_17708	FMO3	1288
HGLibA_40939	RFPL4A	4727
HGLibA_23461	IPO11	683
HGLibA_44175	SIM1	562
HGLibA_55605	ZNF22	483
HGLibA_21681	HMG20B	332
HGLibA_53336	USP32	1179
HGLibA_55396	ZMYM3	378
HGLibA_37952	PPIL6	572
HGLibA_02995	ARL8A	1241
HGLibA_38637	PRMT8	458
HGLibA_26983	LOC650293	621
HGLibA_43492	SERINC4	412
HGLibA_50703	TNF	337
HGLibA_40254	RAPGEF4	880
HGLibA_34564	OR9A4	290
