id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ATP6V1B2	6	0.97394	0.97403	0.999851	21131	0	1.6504	5.0789e-16	2.2815e-07	0.00045	1	5	1.6504
ATP6V0C	6	1.0	1.0	1.0	21698	0	1.5977	6.5935e-13	2.2815e-07	0.00045	2	6	1.5977
ATP6V0B	6	1.0	1.0	1.0	21697	0	2.0716	1.3116e-12	2.2815e-07	0.00045	3	6	2.0716
ATP6V1G1	6	0.99753	0.99756	1.0	21644	0	1.7135	1.1377e-10	2.2815e-07	0.00045	4	6	1.7135
SYS1	6	0.47572	0.65776	0.997916	13898	1	0.87154	1.5743e-09	2.2815e-07	0.00045	5	5	0.87154
ATP6AP1	6	0.52913	0.69322	0.997916	14676	1	1.3773	1.7891e-09	2.2815e-07	0.00045	6	5	1.3773
ST3GAL4	6	0.92289	0.92374	0.99876	20023	1	1.2648	2.9287e-09	2.2815e-07	0.00045	7	5	1.2648
RNASEK	6	0.33858	0.5521	0.997916	11519	3	0.12	6.4641e-09	2.2815e-07	0.00045	8	3	0.12
ATP6V0D1	6	0.99988	0.99988	1.0	21690	0	1.2889	2.2583e-08	2.2815e-07	0.00045	9	6	1.2889
ATP6V1C1	6	0.98443	0.98456	0.999851	21352	0	0.59781	2.424e-08	2.2815e-07	0.00045	10	5	0.59781
ATP6V1E1	6	0.36676	0.58326	0.997916	12145	1	0.89351	2.9051e-08	2.2815e-07	0.00045	11	5	0.89351
SLC35A1	6	0.99999	0.99999	1.0	21695	0	1.1601	1.4703e-07	1.5971e-06	0.002888	12	6	1.1601
ARFRP1	6	0.99665	0.9967	0.999851	21624	0	1.1707	1.7282e-07	2.0534e-06	0.003427	13	5	1.1707
ATP6V1H	6	0.99999	0.99999	1.0	21696	0	0.89869	3.0796e-07	2.5097e-06	0.00389	14	6	0.89869
TMEM165	6	0.98241	0.98257	0.999851	21309	0	0.91781	6.6766e-07	5.2476e-06	0.007591	15	5	0.91781
DHPS	6	0.99924	0.99925	1.0	21673	0	0.8407	1.1914e-06	7.9854e-06	0.010775	16	6	0.8407
CD164	6	0.64626	0.77603	0.997916	16433	1	0.86904	1.4394e-06	8.4417e-06	0.010775	17	5	0.86904
ATP6AP2	6	0.96091	0.9609	0.99876	20869	0	1.0132	3.1517e-06	2.35e-05	0.027879	18	5	1.0132
SLC35B2	6	0.61004	0.74952	0.997916	15887	2	0.87476	3.3515e-06	2.4413e-05	0.027879	19	4	0.87476
MAN1A2	6	0.97785	0.97797	0.999851	21212	0	0.3847	4.2968e-06	2.9432e-05	0.031931	20	4	0.3847
ASNA1	6	0.997	0.99705	0.999851	21632	0	0.79718	5.9832e-06	4.3577e-05	0.045026	21	5	0.79718
POF1B	6	0.18642	0.37511	0.997916	7872	1	0.52915	7.1867e-06	5.0878e-05	0.04972	22	5	0.52915
NDST1	6	0.9193	0.92063	0.99876	19950	1	0.44459	8.642e-06	6.183e-05	0.053663	23	3	0.44459
COG2	6	0.46745	0.6524	0.997916	13780	1	0.50572	8.8076e-06	6.183e-05	0.053663	24	4	0.50572
hsa-mir-126	4	0.97339	0.97341	0.999851	21118	0	0.9174	1.3218e-05	5.2704e-05	0.04972	25	3	0.9174
PTAR1	6	0.99998	0.99998	1.0	21694	0	0.70217	1.3541e-05	9.2859e-05	0.076458	26	6	0.70217
EMC1	6	0.99117	0.99118	0.999851	21503	0	0.77239	1.3885e-05	9.514e-05	0.076458	27	4	0.77239
YKT6	6	0.53846	0.69952	0.997916	14821	1	0.81855	1.5039e-05	9.8791e-05	0.076556	28	4	0.81855
TRAPPC1	6	0.84989	0.8753	0.99876	18886	1	0.81559	1.9487e-05	0.00012024	0.086714	29	4	0.81559
MAP2K7	6	0.99842	0.99843	1.0	21660	0	0.72639	1.9882e-05	0.00012161	0.086714	30	6	0.72639
SRP14	6	0.99996	0.99996	1.0	21692	0	0.84409	2.0533e-05	0.00012389	0.086714	31	6	0.84409
RAB10	6	0.95104	0.95117	0.99876	20648	0	0.81688	2.1439e-05	0.00013073	0.088645	32	5	0.81688
ACKR4	6	0.94521	0.94535	0.99876	20507	0	0.49042	2.4023e-05	0.00014625	0.09616	33	3	0.49042
EXTL3	6	0.99997	0.99997	1.0	21693	0	0.59031	3.2486e-05	0.00019827	0.126529	34	6	0.59031
DAG1	6	0.99834	0.99836	1.0	21655	0	0.53501	3.8067e-05	0.00022747	0.141018	35	6	0.53501
